
Date,Open,High,Low,Close,Volume
2016-07-01,37.65,38.00,37.50,37.60,18786
2016-07-04,37.50,37.60,37.35,37.35,13108
2016-07-05,37.15,37.25,37.00,37.00,16488
2016-07-06,36.80,36.80,36.10,36.10,29036
2016-07-07,36.40,36.50,36.05,36.05,16713
2016-07-11,36.70,36.95,36.50,36.50,27640
2016-07-12,36.85,37.20,36.65,37.15,23643
2016-07-13,37.45,37.95,37.30,37.90,29255
2016-07-14,37.90,38.25,37.70,38.10,23518
2016-07-15,38.25,39.10,38.20,39.00,38076
2016-07-18,39.10,39.70,39.10,39.45,25511
2016-07-19,39.50,40.25,39.05,40.25,41387
2016-07-20,40.00,40.05,39.50,40.00,24427
2016-07-21,40.15,40.20,39.90,40.05,22380
2016-07-22,39.95,40.10,39.75,40.05,19391
2016-07-25,40.20,40.40,39.20,39.85,15128
2016-07-26,39.80,40.00,39.50,40.00,11938
2016-07-27,40.05,40.20,39.60,39.90,13236
2016-07-28,39.90,40.20,39.80,40.10,17325
2016-07-29,40.15,40.20,39.40,39.65,17962
2016-08-01,39.60,40.00,39.60,40.00,14765
2016-08-02,39.95,40.00,39.80,39.80,9470
2016-08-03,39.40,39.90,39.20,39.65,8849
2016-08-04,39.80,39.80,39.40,39.75,8574
2016-08-05,39.75,40.95,39.75,40.45,24693
2016-08-08,41.00,41.65,40.70,41.65,29567
2016-08-09,41.80,42.00,41.35,41.65,22835
2016-08-10,42.00,42.05,41.65,42.00,20362
2016-08-11,41.95,42.00,41.10,41.55,17934
2016-08-12,41.55,42.20,41.50,41.70,16587
2016-08-15,41.90,41.95,41.30,41.50,9285
2016-08-16,41.70,41.70,41.20,41.60,12998
2016-08-17,41.45,41.75,41.30,41.70,9660
2016-08-18,41.55,42.00,41.50,41.85,15056
2016-08-19,41.90,41.95,41.20,41.20,13757
2016-08-22,41.00,41.00,40.20,40.70,14362
2016-08-23,40.45,41.95,40.45,41.80,18325
2016-08-24,41.95,42.10,41.55,41.55,9754
2016-08-25,41.55,42.00,41.55,42.00,15951
2016-08-26,42.00,42.05,41.80,42.00,14192
2016-08-29,42.50,43.20,42.50,43.00,30594
2016-08-30,43.20,44.75,43.20,44.55,53881
2016-08-31,45.20,45.35,43.95,44.90,48182
2016-09-01,44.40,44.60,44.00,44.15,27348
2016-09-02,44.10,44.70,43.55,44.55,25330
2016-09-05,45.00,45.50,44.85,45.00,14917
2016-09-06,45.00,46.20,45.00,46.00,33942
2016-09-07,46.10,46.30,45.70,46.05,29603
2016-09-08,46.25,46.80,46.05,46.75,23223
2016-09-09,46.50,46.50,45.65,45.95,19272
2016-09-10,44.80,45.20,44.65,44.85,13433
2016-09-12,44.60,45.55,44.25,44.90,22710
2016-09-13,45.50,45.50,44.05,44.80,21516
2016-09-14,44.50,44.75,44.25,44.50,17785
2016-09-19,44.80,45.80,44.80,45.70,24540
2016-09-20,45.70,46.30,45.60,46.20,17705
2016-09-21,46.05,46.50,45.75,46.50,16262
2016-09-22,46.85,46.90,45.85,46.50,11479
2016-09-23,46.80,46.80,46.30,46.50,12711
2016-09-26,46.10,46.10,45.50,45.50,11290
2016-09-29,46.25,46.90,46.00,46.80,26110
2016-09-30,46.35,46.45,45.60,46.30,19826
2016-10-03,46.40,46.65,46.00,46.05,10877
2016-10-04,45.80,46.45,45.75,46.45,9560
2016-10-05,46.45,46.55,46.20,46.30,8159
2016-10-06,46.05,46.25,45.80,45.85,8286
2016-10-07,45.70,45.70,45.15,45.30,11758
2016-10-11,45.50,45.60,44.60,45.00,14243
2016-10-12,44.85,45.85,44.55,45.80,12903
2016-10-13,45.90,46.15,45.45,45.45,20741
2016-10-14,45.85,45.85,45.45,45.70,10592
2016-10-17,45.55,45.65,44.80,45.05,17363
2016-10-18,45.10,45.60,45.10,45.60,13331
2016-10-19,45.50,45.80,45.40,45.50,9721
2016-10-20,45.60,45.60,45.10,45.15,8840
2016-10-21,45.05,45.25,44.80,44.90,15121
2016-10-24,44.90,45.15,44.75,44.85,10264
2016-10-25,44.95,45.30,44.75,45.30,8002
2016-10-26,45.35,45.50,45.05,45.35,12364
2016-10-27,45.35,45.55,45.00,45.45,12163
2016-10-28,45.30,45.30,44.60,44.90,18158
2016-10-31,44.70,44.90,44.30,44.80,17256
2016-11-01,44.55,44.85,44.50,44.75,7477
2016-11-02,44.50,44.55,44.20,44.50,10962
2016-11-03,44.30,44.40,43.45,43.50,13653
2016-11-04,43.35,43.90,43.20,43.90,8013
2016-11-07,44.05,44.40,44.00,44.30,7399
2016-11-08,44.40,44.50,44.05,44.50,7017
2016-11-09,44.80,45.15,42.65,42.80,23877
2016-11-10,44.50,45.30,44.50,45.30,34091
2016-11-11,45.85,46.10,45.10,45.75,39216
2016-11-14,46.15,48.90,46.10,48.50,74380
2016-11-15,49.15,49.60,47.45,47.50,48594
2016-11-16,48.00,48.45,47.60,47.60,27415
2016-11-17,47.60,48.00,47.25,47.60,17720
2016-11-18,47.40,47.50,46.65,47.10,21170
2016-11-21,47.10,48.40,47.05,48.10,19940
2016-11-22,48.00,48.20,47.70,48.05,13476
2016-11-23,48.00,48.40,47.50,47.75,18663
2016-11-24,48.30,48.70,48.25,48.45,22927
2016-11-25,48.50,49.80,48.50,49.35,39467
2016-11-28,49.65,49.85,49.05,49.35,29106
2016-11-29,49.10,50.00,48.80,49.45,25931
2016-11-30,49.90,50.40,49.40,49.45,35818
2016-12-01,50.00,50.30,49.55,50.30,24783
2016-12-02,50.40,51.00,49.90,50.80,23572
2016-12-05,51.20,51.30,50.30,51.00,20852
2016-12-06,51.50,51.50,50.70,51.00,25035
2016-12-07,51.30,51.50,50.60,51.00,16918
2016-12-08,51.40,51.50,50.90,51.20,21994
2016-12-09,51.20,51.50,50.80,51.50,16077
2016-12-12,51.80,51.80,51.20,51.40,13968
2016-12-13,51.70,52.50,51.60,52.30,22689
2016-12-14,52.40,52.80,51.20,51.50,27085
2016-12-15,51.40,53.00,51.20,53.00,25949
2016-12-16,53.20,53.70,52.40,52.90,26756
2016-12-19,53.00,53.10,52.40,52.90,10898
2016-12-20,52.90,53.30,52.50,52.90,10449
2016-12-21,53.00,53.00,52.30,52.50,13930
2016-12-22,52.20,52.20,50.00,50.20,26219
2016-12-23,49.65,50.50,49.40,49.80,21589
2016-12-26,49.80,50.80,49.80,50.80,4897
2016-12-27,50.80,50.80,49.90,50.10,5370
2016-12-28,50.10,50.90,49.95,50.90,9041
2016-12-29,50.40,51.00,50.10,50.20,10548
