Date,Open,High,Low,Close,Volume
2017-10-02,47.35,47.50,47.25,47.45,6435
2017-10-03,47.45,47.45,47.00,47.20,5339
2017-10-05,47.05,47.40,47.05,47.10,3790
2017-10-06,47.15,47.35,47.05,47.30,4752
2017-10-11,47.50,47.80,47.20,47.40,21054
2017-10-12,47.70,47.75,47.45,47.45,13698
2017-10-13,47.50,47.70,47.50,47.65,10840
2017-10-16,47.70,47.80,47.50,47.80,10592
2017-10-17,47.75,48.15,47.75,47.80,12815
2017-10-18,47.95,48.00,47.25,47.30,18094
2017-10-19,47.40,47.45,47.20,47.20,5483
2017-10-20,47.20,47.40,47.10,47.25,6857
2017-10-23,47.30,47.50,47.25,47.30,4722
2017-10-24,47.55,47.55,47.20,47.20,6565
2017-10-25,47.45,47.50,47.35,47.50,5061
2017-10-26,47.50,47.55,47.35,47.40,6343
2017-10-27,47.50,48.05,47.50,47.80,17479
2017-10-30,47.90,48.15,47.90,48.00,17434
2017-10-31,48.00,48.15,47.80,48.05,13339
2017-11-01,48.10,48.35,48.10,48.15,10286
